# source_id	kind	status	crystal_refs	notes
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::const::IMAGE	const	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::method::Stream.getFilterList	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::method::Stream.getImage	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::method::Stream.getStream	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::method::Stream.isImage	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/Stream.java::method::Stream.isXmlMetadata	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamImageView.java::func::actionPerformed	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamImageView.java::func::ancestorAdded	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamImageView.java::func::ancestorMoved	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamImageView.java::func::ancestorRemoved	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamPane.java::class::StreamPane	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamPane.java::method::StreamPane.actionPerformed	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamPane.java::method::StreamPane.getPanel	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamPaneView.java::func::getStreamPanel	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamTextView.java::func::ancestorAdded	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamTextView.java::func::ancestorMoved	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamTextView.java::func::ancestorRemoved	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamTextView.java::func::mouseDragged	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/StreamTextView.java::func::mouseMoved	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/tooltip/ColorToolTip.java::func::getToolTipText	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/tooltip/ColorToolTip.java::func::setToolTipText	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/tooltip/FontToolTip.java::func::getToolTipText	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/tooltip/ToolTipController.java::class::ToolTipController	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/streampane/tooltip/ToolTipController.java::method::ToolTipController.getToolTip	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/stringpane/StringPane.java::class::StringPane	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/stringpane/StringPane.java::method::StringPane.getPane	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatus.java::func::getPathForString	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatus.java::func::getStringForPath	func	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatusPane.java::class::TreeStatusPane	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatusPane.java::method::TreeStatusPane.actionPerformed	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatusPane.java::method::TreeStatusPane.getPanel	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatusPane.java::method::TreeStatusPane.updateTreeStatus	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/treestatus/TreeStatusPane.java::method::TreeStatusPane.valueChanged	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::class::ArrayEntry	class	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::method::ArrayEntry.getIndex	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::method::ArrayEntry.getItem	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::method::ArrayEntry.getValue	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::method::ArrayEntry.setIndex	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::method::ArrayEntry.setItem	method	missing	-	auto-generated
debugger/src/main/java/org/apache/pdfbox/debugger/ui/ArrayEntry.java::method::ArrayEntry.setValue	method	missing	-	auto-generated
